日期,era,final盈亏,news门控盈亏,dual盈亏,macro降权门控盈亏,weather_v3代理盈亏,组合_v3盈亏,组合_无天气盈亏,组合日收益_3M,core保证金,新闻可用
2011-01-18,final_only,-292.0,0.0,-292.0,0.0,0.0,-292.0,-292.0,-9.733333333333333e-05,25033.0,0
2011-01-19,final_only,673.0,0.0,673.0,0.0,0.0,673.0,673.0,0.00022433333333333333,27152.0,0
2011-01-20,final_only,1325.0,0.0,1325.0,0.0,0.0,1325.0,1325.0,0.00044166666666666665,26962.0,0
2011-01-21,final_only,49.0,0.0,49.0,0.0,0.0,49.0,49.0,1.633333333333333e-05,20235.0,0
2011-01-24,final_only,-3357.0,0.0,-3357.0,0.0,0.0,-3357.0,-3357.0,-0.001119,43146.0,0
2011-01-25,final_only,-372.0,0.0,-372.0,0.0,0.0,-372.0,-372.0,-0.000124,19988.0,0
2011-01-26,final_only,-506.0,0.0,-506.0,0.0,0.0,-506.0,-506.0,-0.00016866666666666666,43627.0,0
2011-01-27,final_only,-1892.0,0.0,-1892.0,0.0,0.0,-1892.0,-1892.0,-0.0006306666666666666,43146.0,0
2011-01-28,final_only,2850.0,0.0,2850.0,0.0,0.0,2850.0,2850.0,0.00095,42894.0,0
2011-01-31,final_only,5285.0,0.0,5285.0,0.0,0.0,5285.0,5285.0,0.0017616666666666666,43560.0,0
2011-02-01,final_only,-933.0,0.0,-933.0,0.0,0.0,-933.0,-933.0,-0.000311,35058.0,0
2011-02-09,final_only,1727.0,0.0,1727.0,0.0,0.0,1727.0,1727.0,0.0005756666666666667,48889.0,0
2011-02-10,final_only,592.0,0.0,592.0,0.0,0.0,592.0,592.0,0.00019733333333333332,35064.0,0
2011-02-11,final_only,-2000.0,0.0,-2000.0,0.0,0.0,-2000.0,-2000.0,-0.0006666666666666666,35148.0,0
2011-02-14,final_only,-1692.0,0.0,-1692.0,0.0,0.0,-1692.0,-1692.0,-0.000564,36410.0,0
